dataset_name,kpi,is_kpi,dtype,domain,description
supplychain_logistics_claims_48,freight_cost_per_unit,1,float,supplychain_logistics,KPI measuring freight cost per unit in supplychain logistics domain.
transport_automotive_usage_telemetry,on_time_trip_percent,1,int,transport_automotive,KPI measuring on time trip percent in transport automotive domain.
cybersecurity_risk_analytics_32,timestamp,0,int,cybersecurity,Supporting attribute representing timestamp.
hr_adv_engagement_analytics,date,0,date,hr_adv,Supporting attribute representing date.
healthcare_pharma_transactions,clinical_trial_success_rate,1,int,healthcare_pharma,KPI measuring clinical trial success rate in healthcare pharma domain.
marketing_trends,location,0,string,marketing,Supporting attribute representing location.
ai_datascience_product_analytics,model_accuracy,1,int,ai_datascience,KPI measuring model accuracy in ai datascience domain.
hr_adv_fraud_monitoring,employee_turnover_rate,1,int,hr_adv,KPI measuring employee turnover rate in hr adv domain.
ai_datascience_student_performance_48,country,0,int,ai_datascience,Supporting attribute representing country.
hospitality_travel_product_analytics_48,average_stay_duration,1,int,hospitality_travel,KPI measuring average stay duration in hospitality travel domain.
public_government_cost_reporting,timestamp,0,string,public_government,Supporting attribute representing timestamp.
ecommerce_retail_risk_analytics_34,average_order_value,1,float,ecommerce_retail,KPI measuring average order value in ecommerce retail domain.
public_government_course_outcomes_49,category,0,string,public_government,Supporting attribute representing category.
manufacturing_metrics_29,order_fulfillment_time,1,int,manufacturing,KPI measuring order fulfillment time in manufacturing domain.
telecom_shipment_tracking,subscriber_churn_rate,1,int,telecom,KPI measuring subscriber churn rate in telecom domain.
education_edtech_reliability_metrics_11,course_completion_rate,1,float,education_edtech,KPI measuring course completion rate in education edtech domain.
supplychain_logistics_fraud_monitoring,country,0,date,supplychain_logistics,Supporting attribute representing country.
manufacturing_adv_trial_registry_21,waste_percentage,1,int,manufacturing_adv,KPI measuring waste percentage in manufacturing adv domain.
finance_fintech_course_outcomes_22,cost_to_income_ratio,1,float,finance_fintech,KPI measuring cost to income ratio in finance fintech domain.
marketing_monitoring,conversion_rate,1,float,marketing,KPI measuring conversion rate in marketing domain.
hr_adv_policy_admin,employee_productivity_index,1,int,hr_adv,KPI measuring employee productivity index in hr adv domain.
energy_sustainability_customer_segments,region,0,date,energy_sustainability,Supporting attribute representing region.
media_entertainment_course_outcomes,ad_revenue_per_view,1,int,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
finance_fintech_fraud_monitoring_13,fraud_detection_rate,1,int,finance_fintech,KPI measuring fraud detection rate in finance fintech domain.
finance_fintech_trial_registry,net_profit_margin,1,float,finance_fintech,KPI measuring net profit margin in finance fintech domain.
sales_marketing_student_performance,lead_to_deal_ratio,1,int,sales_marketing,KPI measuring lead to deal ratio in sales marketing domain.
sales_analytics_32,region,0,string,sales,Supporting attribute representing region.
healthcare_pharma_policy_admin_18,patient_satisfaction_score,1,int,healthcare_pharma,KPI measuring patient satisfaction score in healthcare pharma domain.
education_edtech_efficiency_dashboard,timestamp,0,int,education_edtech,Supporting attribute representing timestamp.
finance_benchmarking,region,0,string,finance,Supporting attribute representing region.
energy_sustainability_reliability_metrics_3,energy_efficiency_ratio,1,int,energy_sustainability,KPI measuring energy efficiency ratio in energy sustainability domain.
agriculture_agritech_transactions,supply_chain_delay_index,1,float,agriculture_agritech,KPI measuring supply chain delay index in agriculture agritech domain.
manufacturing_analytics_27,production_yield,1,int,manufacturing,KPI measuring production yield in manufacturing domain.
sales_marketing_claims,customer_lifetime_value,1,float,sales_marketing,KPI measuring customer lifetime value in sales marketing domain.
finance_analytics,country,0,int,finance,Supporting attribute representing country.
sales_benchmarking,pipeline_velocity,1,float,sales,KPI measuring pipeline velocity in sales domain.
education_edtech_transactions,id,0,date,education_edtech,Supporting attribute representing id.
banking_insurance_campaign_performance,segment,0,int,banking_insurance,Supporting attribute representing segment.
ai_datascience_sustainability_index,data_pipeline_uptime,1,int,ai_datascience,KPI measuring data pipeline uptime in ai datascience domain.
manufacturing_historical_14,order_fulfillment_time,1,int,manufacturing,KPI measuring order fulfillment time in manufacturing domain.
finance_fintech_student_performance_9,fraud_detection_rate,1,float,finance_fintech,KPI measuring fraud detection rate in finance fintech domain.
hr_trends_9,employee_engagement_score,1,float,hr,KPI measuring employee engagement score in hr domain.
manufacturing_trends,date,0,string,manufacturing,Supporting attribute representing date.
telecom_customer_segments_20,average_revenue_per_user,1,float,telecom,KPI measuring average revenue per user in telecom domain.
devops_analytics,region,0,date,devops,Supporting attribute representing region.
healthcare_pharma_transactions,diagnosis_accuracy,1,int,healthcare_pharma,KPI measuring diagnosis accuracy in healthcare pharma domain.
sales_marketing_sustainability_index,customer_acquisition_cost,1,float,sales_marketing,KPI measuring customer acquisition cost in sales marketing domain.
agriculture_agritech_risk_analytics_37,fertilizer_efficiency,1,int,agriculture_agritech,KPI measuring fertilizer efficiency in agriculture agritech domain.
manufacturing_monitoring,overall_equipment_effectiveness,1,float,manufacturing,KPI measuring overall equipment effectiveness in manufacturing domain.
transport_automotive_fraud_monitoring,maintenance_cost_ratio,1,float,transport_automotive,KPI measuring maintenance cost ratio in transport automotive domain.
sales_marketing_course_outcomes,brand_awareness_score,1,int,sales_marketing,KPI measuring brand awareness score in sales marketing domain.
education_edtech_campaign_performance_14,pass_percentage,1,int,education_edtech,KPI measuring pass percentage in education edtech domain.
media_entertainment_sustainability_index,watch_time_per_user,1,float,media_entertainment,KPI measuring watch time per user in media entertainment domain.
hospitality_travel_sustainability_index,occupancy_rate,1,float,hospitality_travel,KPI measuring occupancy rate in hospitality travel domain.
education_edtech_transactions_15,id,0,date,education_edtech,Supporting attribute representing id.
banking_insurance_clinical_outcomes,premium_growth_rate,1,float,banking_insurance,KPI measuring premium growth rate in banking insurance domain.
banking_insurance_orders_26,claim_rejection_rate,1,float,banking_insurance,KPI measuring claim rejection rate in banking insurance domain.
devops_operations,channel,0,date,devops,Supporting attribute representing channel.
saas_it_clinical_outcomes,country,0,date,saas_it,Supporting attribute representing country.
public_government_student_performance,project_delivery_time,1,float,public_government,KPI measuring project delivery time in public government domain.
ai_datascience_student_performance,training_cost_per_model,1,int,ai_datascience,KPI measuring training cost per model in ai datascience domain.
telecom_cost_reporting,id,0,int,telecom,Supporting attribute representing id.
saas_it_customer_segments,category,0,date,saas_it,Supporting attribute representing category.
manufacturing_benchmarking_43,perfect_order_rate,1,int,manufacturing,KPI measuring perfect order rate in manufacturing domain.
saas_it_transactions,bug_resolution_time,1,float,saas_it,KPI measuring bug resolution time in saas it domain.
energy_sustainability_shipment_tracking,category,0,string,energy_sustainability,Supporting attribute representing category.
energy_sustainability_customer_segments,location,0,int,energy_sustainability,Supporting attribute representing location.
supplychain_logistics_shipment_tracking,inventory_accuracy,1,float,supplychain_logistics,KPI measuring inventory accuracy in supplychain logistics domain.
transport_automotive_policy_admin_37,maintenance_cost_ratio,1,int,transport_automotive,KPI measuring maintenance cost ratio in transport automotive domain.
media_entertainment_transactions,ad_revenue_per_view,1,float,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
telecom_student_performance_27,location,0,date,telecom,Supporting attribute representing location.
education_edtech_claims,enrollment_growth,1,float,education_edtech,KPI measuring enrollment growth in education edtech domain.
education_edtech_engagement_analytics_38,student_engagement_level,1,int,education_edtech,KPI measuring student engagement level in education edtech domain.
supplychain_logistics_student_performance,id,0,date,supplychain_logistics,Supporting attribute representing id.
logistics_kpi_table,on_time_delivery_rate,1,float,logistics,KPI measuring on time delivery rate in logistics domain.
hr_adv_engagement_analytics,segment,0,int,hr_adv,Supporting attribute representing segment.
realestate_construction_policy_admin,channel,0,date,realestate_construction,Supporting attribute representing channel.
supplychain_logistics_course_outcomes,inventory_accuracy,1,int,supplychain_logistics,KPI measuring inventory accuracy in supplychain logistics domain.
media_entertainment_reliability_metrics,timestamp,0,date,media_entertainment,Supporting attribute representing timestamp.
hospitality_travel_campaign_performance,average_daily_rate,1,float,hospitality_travel,KPI measuring average daily rate in hospitality travel domain.
sales_historical_30,location,0,date,sales,Supporting attribute representing location.
sales_metrics_8,sales_growth_rate,1,int,sales,KPI measuring sales growth rate in sales domain.
cybersecurity_clinical_outcomes_17,compliance_score,1,float,cybersecurity,KPI measuring compliance score in cybersecurity domain.
hospitality_travel_efficiency_dashboard,guest_satisfaction_score,1,int,hospitality_travel,KPI measuring guest satisfaction score in hospitality travel domain.
agriculture_agritech_policy_admin,fertilizer_efficiency,1,float,agriculture_agritech,KPI measuring fertilizer efficiency in agriculture agritech domain.
hospitality_travel_product_analytics,region,0,string,hospitality_travel,Supporting attribute representing region.
hospitality_travel_transactions,occupancy_rate,1,int,hospitality_travel,KPI measuring occupancy rate in hospitality travel domain.
realestate_construction_transactions_43,category,0,date,realestate_construction,Supporting attribute representing category.
public_government_risk_analytics_43,service_coverage_percent,1,int,public_government,KPI measuring service coverage percent in public government domain.
education_edtech_risk_analytics_49,average_test_score,1,int,education_edtech,KPI measuring average test score in education edtech domain.
manufacturing_benchmarking,machine_utilization,1,float,manufacturing,KPI measuring machine utilization in manufacturing domain.
media_entertainment_claims,ad_revenue_per_view,1,int,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
sales_benchmarking_8,sales_cycle_length,1,float,sales,KPI measuring sales cycle length in sales domain.
realestate_construction_reliability_metrics,cost_per_square_foot,1,float,realestate_construction,KPI measuring cost per square foot in realestate construction domain.
telecom_trial_registry,date,0,string,telecom,Supporting attribute representing date.
ai_datascience_clinical_outcomes,location,0,string,ai_datascience,Supporting attribute representing location.
banking_insurance_sustainability_index,location,0,string,banking_insurance,Supporting attribute representing location.
sales_marketing_transactions,engagement_rate,1,float,sales_marketing,KPI measuring engagement rate in sales marketing domain.
agriculture_agritech_reliability_metrics,soil_health_index,1,float,agriculture_agritech,KPI measuring soil health index in agriculture agritech domain.
finance_fintech_reliability_metrics,country,0,date,finance_fintech,Supporting attribute representing country.
devops_monitoring,change_failure_rate,1,float,devops,KPI measuring change failure rate in devops domain.
finance_reporting,channel,0,date,finance,Supporting attribute representing channel.
sales_performance,channel,0,int,sales,Supporting attribute representing channel.
manufacturing_operations,channel,0,date,manufacturing,Supporting attribute representing channel.
marketing_analytics,customer_lifetime_value,1,float,marketing,KPI measuring customer lifetime value in marketing domain.
agriculture_agritech_trial_registry_39,soil_health_index,1,int,agriculture_agritech,KPI measuring soil health index in agriculture agritech domain.
hospitality_travel_efficiency_dashboard,category,0,int,hospitality_travel,Supporting attribute representing category.
manufacturing_adv_student_performance,yield_rate,1,int,manufacturing_adv,KPI measuring yield rate in manufacturing adv domain.
sales_operations_13,timestamp,0,int,sales,Supporting attribute representing timestamp.
devops_metrics_49,mean_time_between_failures,1,float,devops,KPI measuring mean time between failures in devops domain.
healthcare_pharma_engagement_analytics,patient_satisfaction_score,1,float,healthcare_pharma,KPI measuring patient satisfaction score in healthcare pharma domain.
hr_adv_fraud_monitoring,timestamp,0,int,hr_adv,Supporting attribute representing timestamp.
healthcare_pharma_product_analytics_14,segment,0,string,healthcare_pharma,Supporting attribute representing segment.
realestate_construction_fraud_monitoring,location,0,int,realestate_construction,Supporting attribute representing location.
ecommerce_retail_orders,delivery_time,1,int,ecommerce_retail,KPI measuring delivery time in ecommerce retail domain.
telecom_reliability_metrics,date,0,date,telecom,Supporting attribute representing date.
education_edtech_usage_telemetry,enrollment_growth,1,float,education_edtech,KPI measuring enrollment growth in education edtech domain.
energy_sustainability_efficiency_dashboard_20,energy_efficiency_ratio,1,float,energy_sustainability,KPI measuring energy efficiency ratio in energy sustainability domain.
marketing_historical,organic_growth_rate,1,float,marketing,KPI measuring organic growth rate in marketing domain.
hr_adv_policy_admin,region,0,date,hr_adv,Supporting attribute representing region.
transport_automotive_efficiency_dashboard,on_time_trip_percent,1,int,transport_automotive,KPI measuring on time trip percent in transport automotive domain.
manufacturing_analytics_15,id,0,date,manufacturing,Supporting attribute representing id.
saas_it_cost_reporting,timestamp,0,int,saas_it,Supporting attribute representing timestamp.
realestate_construction_fraud_monitoring_16,location,0,int,realestate_construction,Supporting attribute representing location.
ai_datascience_fraud_monitoring_1,f1_score,1,float,ai_datascience,KPI measuring f1 score in ai datascience domain.
healthcare_pharma_customer_segments_3,diagnosis_accuracy,1,int,healthcare_pharma,KPI measuring diagnosis accuracy in healthcare pharma domain.
finance_historical,location,0,date,finance,Supporting attribute representing location.
devops_historical_46,automation_coverage,1,float,devops,KPI measuring automation coverage in devops domain.
supplychain_logistics_transactions,channel,0,string,supplychain_logistics,Supporting attribute representing channel.
hospitality_travel_customer_segments,average_stay_duration,1,float,hospitality_travel,KPI measuring average stay duration in hospitality travel domain.
supplychain_logistics_trial_registry_48,last_mile_delivery_success_rate,1,int,supplychain_logistics,KPI measuring last mile delivery success rate in supplychain logistics domain.
finance_operations_15,region,0,string,finance,Supporting attribute representing region.
public_government_engagement_analytics,region,0,string,public_government,Supporting attribute representing region.
manufacturing_adv_claims_16,overall_equipment_effectiveness,1,int,manufacturing_adv,KPI measuring overall equipment effectiveness in manufacturing adv domain.
supplychain_logistics_student_performance_39,transport_time,1,int,supplychain_logistics,KPI measuring transport time in supplychain logistics domain.
manufacturing_adv_efficiency_dashboard_9,country,0,int,manufacturing_adv,Supporting attribute representing country.
banking_insurance_campaign_performance,id,0,date,banking_insurance,Supporting attribute representing id.
manufacturing_metrics,timestamp,0,date,manufacturing,Supporting attribute representing timestamp.
realestate_construction_usage_telemetry_20,segment,0,date,realestate_construction,Supporting attribute representing segment.
education_edtech_claims_29,date,0,string,education_edtech,Supporting attribute representing date.
hr_adv_trial_registry,country,0,int,hr_adv,Supporting attribute representing country.
agriculture_agritech_efficiency_dashboard,timestamp,0,string,agriculture_agritech,Supporting attribute representing timestamp.
ai_datascience_trial_registry_14,f1_score,1,float,ai_datascience,KPI measuring f1 score in ai datascience domain.
hospitality_travel_customer_segments,id,0,date,hospitality_travel,Supporting attribute representing id.
sales_marketing_engagement_analytics,id,0,string,sales_marketing,Supporting attribute representing id.
realestate_construction_product_analytics,construction_delay_index,1,float,realestate_construction,KPI measuring construction delay index in realestate construction domain.
finance_trends_49,category,0,date,finance,Supporting attribute representing category.
ecommerce_retail_policy_admin,delivery_time,1,int,ecommerce_retail,KPI measuring delivery time in ecommerce retail domain.
sales_marketing_reliability_metrics,engagement_rate,1,float,sales_marketing,KPI measuring engagement rate in sales marketing domain.
product_operations,engagement_depth_score,1,float,product,KPI measuring engagement depth score in product domain.
product_reporting,region,0,string,product,Supporting attribute representing region.
transport_automotive_cost_reporting,on_time_trip_percent,1,int,transport_automotive,KPI measuring on time trip percent in transport automotive domain.
agriculture_agritech_trial_registry_44,channel,0,int,agriculture_agritech,Supporting attribute representing channel.
ai_datascience_product_analytics,data_pipeline_uptime,1,int,ai_datascience,KPI measuring data pipeline uptime in ai datascience domain.
cybersecurity_engagement_analytics_31,date,0,date,cybersecurity,Supporting attribute representing date.
finance_fintech_orders,revenue,1,float,finance_fintech,KPI measuring revenue in finance fintech domain.
supplychain_logistics_customer_segments,region,0,int,supplychain_logistics,Supporting attribute representing region.
manufacturing_trends_41,inventory_turnover,1,float,manufacturing,KPI measuring inventory turnover in manufacturing domain.
manufacturing_adv_shipment_tracking,id,0,string,manufacturing_adv,Supporting attribute representing id.
ecommerce_retail_risk_analytics_38,inventory_turnover_ratio,1,int,ecommerce_retail,KPI measuring inventory turnover ratio in ecommerce retail domain.
hr_benchmarking,country,0,int,hr,Supporting attribute representing country.
manufacturing_adv_customer_segments,location,0,int,manufacturing_adv,Supporting attribute representing location.
agriculture_agritech_transactions,country,0,date,agriculture_agritech,Supporting attribute representing country.
media_entertainment_policy_admin_28,location,0,date,media_entertainment,Supporting attribute representing location.
telecom_sustainability_index,segment,0,date,telecom,Supporting attribute representing segment.
hospitality_travel_trial_registry_27,revenue_per_available_room,1,float,hospitality_travel,KPI measuring revenue per available room in hospitality travel domain.
ai_datascience_cost_reporting_25,training_cost_per_model,1,int,ai_datascience,KPI measuring training cost per model in ai datascience domain.
telecom_usage_telemetry,date,0,date,telecom,Supporting attribute representing date.
media_entertainment_shipment_tracking_22,content_production_cost_index,1,int,media_entertainment,KPI measuring content production cost index in media entertainment domain.
public_government_engagement_analytics,service_coverage_percent,1,float,public_government,KPI measuring service coverage percent in public government domain.
healthcare_pharma_shipment_tracking_25,bed_occupancy_rate,1,float,healthcare_pharma,KPI measuring bed occupancy rate in healthcare pharma domain.
banking_insurance_sustainability_index,id,0,int,banking_insurance,Supporting attribute representing id.
hr_adv_course_outcomes,category,0,string,hr_adv,Supporting attribute representing category.
healthcare_pharma_transactions,category,0,int,healthcare_pharma,Supporting attribute representing category.
healthcare_pharma_clinical_outcomes,patient_satisfaction_score,1,float,healthcare_pharma,KPI measuring patient satisfaction score in healthcare pharma domain.
media_entertainment_product_analytics,location,0,date,media_entertainment,Supporting attribute representing location.
finance_operations,net_profit_margin,1,int,finance,KPI measuring net profit margin in finance domain.
transport_automotive_usage_telemetry,timestamp,0,date,transport_automotive,Supporting attribute representing timestamp.
hr_analytics_29,category,0,date,hr,Supporting attribute representing category.
manufacturing_adv_shipment_tracking,overall_equipment_effectiveness,1,float,manufacturing_adv,KPI measuring overall equipment effectiveness in manufacturing adv domain.
product_analytics,region,0,int,product,Supporting attribute representing region.
agriculture_agritech_product_analytics,irrigation_utilization,1,float,agriculture_agritech,KPI measuring irrigation utilization in agriculture agritech domain.
saas_it_fraud_monitoring_26,date,0,date,saas_it,Supporting attribute representing date.
manufacturing_adv_claims,waste_percentage,1,int,manufacturing_adv,KPI measuring waste percentage in manufacturing adv domain.
energy_sustainability_product_analytics_6,emission_intensity,1,float,energy_sustainability,KPI measuring emission intensity in energy sustainability domain.
transport_automotive_fraud_monitoring,fuel_efficiency_per_vehicle,1,int,transport_automotive,KPI measuring fuel efficiency per vehicle in transport automotive domain.
saas_it_clinical_outcomes,support_response_time,1,int,saas_it,KPI measuring support response time in saas it domain.
manufacturing_analytics,scrap_rate,1,int,manufacturing,KPI measuring scrap rate in manufacturing domain.
banking_insurance_trial_registry,segment,0,string,banking_insurance,Supporting attribute representing segment.
hospitality_travel_engagement_analytics,occupancy_rate,1,float,hospitality_travel,KPI measuring occupancy rate in hospitality travel domain.
energy_sustainability_customer_segments_25,channel,0,int,energy_sustainability,Supporting attribute representing channel.
hr_reporting,employee_attrition_rate,1,int,hr,KPI measuring employee attrition rate in hr domain.
ecommerce_retail_customer_segments,country,0,int,ecommerce_retail,Supporting attribute representing country.
marketing_monitoring,click_through_rate,1,float,marketing,KPI measuring click through rate in marketing domain.
manufacturing_adv_orders_24,channel,0,date,manufacturing_adv,Supporting attribute representing channel.
marketing_dataset,date,0,string,marketing,Supporting attribute representing date.
sales_operations_37,category,0,date,sales,Supporting attribute representing category.
transport_automotive_trial_registry_46,fuel_efficiency_per_vehicle,1,int,transport_automotive,KPI measuring fuel efficiency per vehicle in transport automotive domain.
banking_insurance_customer_segments,policy_claim_settlement_time,1,int,banking_insurance,KPI measuring policy claim settlement time in banking insurance domain.
public_government_student_performance,policy_implementation_time,1,float,public_government,KPI measuring policy implementation time in public government domain.
manufacturing_benchmarking,production_yield,1,float,manufacturing,KPI measuring production yield in manufacturing domain.
hr_kpi_table,absenteeism_rate,1,float,hr,KPI measuring absenteeism rate in hr domain.
sales_marketing_customer_segments,brand_awareness_score,1,float,sales_marketing,KPI measuring brand awareness score in sales marketing domain.
realestate_construction_sustainability_index,construction_delay_index,1,float,realestate_construction,KPI measuring construction delay index in realestate construction domain.
healthcare_pharma_shipment_tracking,location,0,int,healthcare_pharma,Supporting attribute representing location.
ecommerce_retail_claims,segment,0,string,ecommerce_retail,Supporting attribute representing segment.
media_entertainment_policy_admin,location,0,string,media_entertainment,Supporting attribute representing location.
marketing_trends_11,return_on_marketing_investment,1,int,marketing,KPI measuring return on marketing investment in marketing domain.
finance_fintech_reliability_metrics,net_interest_margin,1,int,finance_fintech,KPI measuring net interest margin in finance fintech domain.
finance_fintech_clinical_outcomes,channel,0,string,finance_fintech,Supporting attribute representing channel.
media_entertainment_usage_telemetry,watch_time_per_user,1,int,media_entertainment,KPI measuring watch time per user in media entertainment domain.
manufacturing_reporting_27,production_yield,1,int,manufacturing,KPI measuring production yield in manufacturing domain.
healthcare_pharma_student_performance_44,treatment_adherence_rate,1,float,healthcare_pharma,KPI measuring treatment adherence rate in healthcare pharma domain.
manufacturing_adv_shipment_tracking,category,0,string,manufacturing_adv,Supporting attribute representing category.
education_edtech_sustainability_index,category,0,string,education_edtech,Supporting attribute representing category.
public_government_cost_reporting_3,service_coverage_percent,1,float,public_government,KPI measuring service coverage percent in public government domain.
product_metrics,user_churn_probability,1,float,product,KPI measuring user churn probability in product domain.
finance_fintech_student_performance,liquidity_ratio,1,float,finance_fintech,KPI measuring liquidity ratio in finance fintech domain.
sales_marketing_orders,engagement_rate,1,float,sales_marketing,KPI measuring engagement rate in sales marketing domain.
sales_marketing_fraud_monitoring,category,0,date,sales_marketing,Supporting attribute representing category.
logistics_trends,delivery_lead_time,1,float,logistics,KPI measuring delivery lead time in logistics domain.
sales_marketing_clinical_outcomes_4,category,0,date,sales_marketing,Supporting attribute representing category.
saas_it_reliability_metrics,monthly_recurring_revenue,1,int,saas_it,KPI measuring monthly recurring revenue in saas it domain.
logistics_dataset_48,delivery_lead_time,1,int,logistics,KPI measuring delivery lead time in logistics domain.
agriculture_agritech_risk_analytics_11,irrigation_utilization,1,float,agriculture_agritech,KPI measuring irrigation utilization in agriculture agritech domain.
education_edtech_campaign_performance_35,enrollment_growth,1,int,education_edtech,KPI measuring enrollment growth in education edtech domain.
realestate_construction_orders,cost_per_square_foot,1,float,realestate_construction,KPI measuring cost per square foot in realestate construction domain.
sales_marketing_fraud_monitoring_31,engagement_rate,1,int,sales_marketing,KPI measuring engagement rate in sales marketing domain.
education_edtech_usage_telemetry,timestamp,0,int,education_edtech,Supporting attribute representing timestamp.
ai_datascience_engagement_analytics,training_cost_per_model,1,int,ai_datascience,KPI measuring training cost per model in ai datascience domain.
healthcare_pharma_shipment_tracking,average_treatment_cost,1,float,healthcare_pharma,KPI measuring average treatment cost in healthcare pharma domain.
hr_performance_1,workforce_productivity_index,1,int,hr,KPI measuring workforce productivity index in hr domain.
education_edtech_trial_registry,id,0,string,education_edtech,Supporting attribute representing id.
hr_adv_course_outcomes,location,0,string,hr_adv,Supporting attribute representing location.
finance_fintech_usage_telemetry,fraud_detection_rate,1,float,finance_fintech,KPI measuring fraud detection rate in finance fintech domain.
hr_operations_34,id,0,date,hr,Supporting attribute representing id.
sales_analytics_20,win_rate,1,int,sales,KPI measuring win rate in sales domain.
healthcare_pharma_usage_telemetry,patient_satisfaction_score,1,int,healthcare_pharma,KPI measuring patient satisfaction score in healthcare pharma domain.
hospitality_travel_trial_registry,average_stay_duration,1,int,hospitality_travel,KPI measuring average stay duration in hospitality travel domain.
hospitality_travel_fraud_monitoring,channel,0,int,hospitality_travel,Supporting attribute representing channel.
banking_insurance_engagement_analytics,claim_rejection_rate,1,int,banking_insurance,KPI measuring claim rejection rate in banking insurance domain.
transport_automotive_student_performance,category,0,date,transport_automotive,Supporting attribute representing category.
logistics_benchmarking_23,supply_chain_flexibility_index,1,int,logistics,KPI measuring supply chain flexibility index in logistics domain.
ai_datascience_course_outcomes_36,f1_score,1,float,ai_datascience,KPI measuring f1 score in ai datascience domain.
banking_insurance_student_performance_33,nonperforming_assets_ratio,1,int,banking_insurance,KPI measuring nonperforming assets ratio in banking insurance domain.
saas_it_claims,id,0,date,saas_it,Supporting attribute representing id.
healthcare_pharma_student_performance_41,average_treatment_cost,1,float,healthcare_pharma,KPI measuring average treatment cost in healthcare pharma domain.
education_edtech_student_performance,timestamp,0,int,education_edtech,Supporting attribute representing timestamp.
transport_automotive_claims_14,category,0,string,transport_automotive,Supporting attribute representing category.
sales_marketing_engagement_analytics_36,engagement_rate,1,int,sales_marketing,KPI measuring engagement rate in sales marketing domain.
telecom_cost_reporting,average_revenue_per_user,1,int,telecom,KPI measuring average revenue per user in telecom domain.
finance_fintech_campaign_performance,id,0,int,finance_fintech,Supporting attribute representing id.
finance_kpi_table_5,operating_leverage,1,float,finance,KPI measuring operating leverage in finance domain.
education_edtech_customer_segments,skill_improvement_rate,1,int,education_edtech,KPI measuring skill improvement rate in education edtech domain.
public_government_clinical_outcomes,egovernance_adoption_rate,1,float,public_government,KPI measuring egovernance adoption rate in public government domain.
marketing_performance_36,lead_to_opportunity_ratio,1,float,marketing,KPI measuring lead to opportunity ratio in marketing domain.
devops_metrics,location,0,int,devops,Supporting attribute representing location.
ecommerce_retail_student_performance,region,0,date,ecommerce_retail,Supporting attribute representing region.
hospitality_travel_trial_registry_41,average_daily_rate,1,int,hospitality_travel,KPI measuring average daily rate in hospitality travel domain.
saas_it_usage_telemetry,bug_resolution_time,1,int,saas_it,KPI measuring bug resolution time in saas it domain.
sales_marketing_shipment_tracking,campaign_roi,1,float,sales_marketing,KPI measuring campaign roi in sales marketing domain.
media_entertainment_engagement_analytics,timestamp,0,int,media_entertainment,Supporting attribute representing timestamp.
